8;06:38;06:38;80;06:39;06:39;79;06:40;06:40;82;06:41;06:41;81;06:42;06:42;87;06:42;06:42;4;06:43;06:43;54;06:44;06:44;108;06:45;06:45;66;06:47;06:47;78;06:48;-1
6;06:55;06:55;66;06:56;06:56;108;06:58;06:58;36;07:00;07:00;4;07:00;07:00;87;07:01;07:01;81;07:02;07:02;82;07:03;07:03;79;07:04;07:04;80;07:05;07:05;8;07:06;-1
8;07:08;07:08;80;07:09;07:09;79;07:10;07:10;82;07:11;07:11;81;07:12;07:12;87;07:12;07:12;4;07:13;07:13;54;07:14;07:14;108;07:15;07:15;66;07:17;07:17;78;07:18;-1
6;07:25;07:25;66;07:26;07:26;108;07:28;07:28;36;07:30;07:30;4;07:30;07:30;87;07:31;07:31;81;07:32;07:32;82;07:33;07:33;79;07:34;07:34;80;07:35;07:35;8;07:36;-1
8;07:38;07:38;80;07:39;07:39;79;07:40;07:40;82;07:41;07:41;81;07:42;07:42;87;07:42;07:42;4;07:43;07:43;54;07:44;07:44;108;07:45;07:45;66;07:47;07:47;78;07:48;-1
6;07:55;07:55;66;07:56;07:56;108;07:58;07:58;36;08:00;08:00;4;08:00;08:00;87;08:01;08:01;81;08:02;08:02;82;08:03;08:03;79;08:04;08:04;80;08:05;08:05;8;08:06;-1
8;08:08;08:08;80;08:09;08:09;79;08:10;08:10;82;08:11;08:11;81;08:12;08:12;87;08:12;08:12;4;08:13;08:13;54;08:14;08:14;108;08:15;08:15;66;08:17;08:17;78;08:18;-1
6;08:25;08:25;66;08:26;08:26;108;08:28;08:28;36;08:30;08:30;4;08:30;08:30;87;08:31;08:31;81;08:32;08:32;82;08:33;08:33;79;08:34;08:34;80;08:35;08:35;8;08:36;-1
8;08:38;08:38;80;08:39;08:39;79;08:40;08:40;82;08:41;08:41;81;08:42;08:42;87;08:42;08:42;4;08:43;08:43;54;08:44;08:44;108;08:45;08:45;66;08:47;08:47;78;08:48;-1
6;08:55;08:55;66;08:56;08:56;108;08:58;08:58;36;09:00;09:00;4;09:00;09:00;87;09:01;09:01;81;09:02;09:02;82;09:03;09:03;79;09:04;09:04;80;09:05;09:05;8;09:06;-1
8;09:08;09:08;80;09:09;09:09;79;09:10;09:10;82;09:11;09:11;81;09:12;09:12;87;09:12;09:12;4;09:13;09:13;54;09:14;09:14;108;09:15;09:15;66;09:17;09:17;78;09:18;-1
6;09:25;09:25;66;09:26;09:26;108;09:28;09:28;36;09:30;09:30;4;09:30;09:30;87;09:31;09:31;81;09:32;09:32;82;09:33;09:33;79;09:34;09:34;80;09:35;09:35;8;09:36;-1
8;09:38;09:38;80;09:39;09:39;79;09:40;09:40;82;09:41;09:41;81;09:42;09:42;87;09:42;09:42;4;09:43;09:43;54;09:44;09:44;108;09:45;09:45;66;09:47;09:47;78;09:48;-1
6;09:55;09:55;66;09:56;09:56;108;09:58;09:58;36;10:00;10:00;4;10:00;10:00;87;10:01;10:01;81;10:02;10:02;82;10:03;10:03;79;10:04;10:04;80;10:05;10:05;8;10:06;-1
8;10:08;10:08;80;10:09;10:09;79;10:10;10:10;82;10:11;10:11;81;10:12;10:12;87;10:12;10:12;4;10:13;10:13;54;10:14;10:14;108;10:15;10:15;66;10:17;10:17;78;10:18;-1
6;10:25;10:25;66;10:26;10:26;108;10:28;10:28;36;10:30;10:30;4;10:30;10:30;87;10:31;10:31;81;10:32;10:32;82;10:33;10:33;79;10:34;10:34;80;10:35;10:35;8;10:36;-1
